group,user,kc,competency
7a01ab37bd2729626dcaf96166390315,2db95e8e1a9267b7a1188556b2013b33,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,3346993e67759021d1f7d17052cae1bb,GMD.4,0.9496001382754248
7a01ab37bd2729626dcaf96166390315,3346993e67759021d1f7d17052cae1bb,CO.5,0.9645957718188383
7a01ab37bd2729626dcaf96166390315,3346993e67759021d1f7d17052cae1bb,CO.6,0.9524212711508785
7a01ab37bd2729626dcaf96166390315,3346993e67759021d1f7d17052cae1bb,MG.1,0.6035142167777338
7a01ab37bd2729626dcaf96166390315,3f4fbcbac5da95a20fa08e5384cec0be,GMD.4,0.6909066973442366
7a01ab37bd2729626dcaf96166390315,3f4fbcbac5da95a20fa08e5384cec0be,CO.5,0.6264489582628554
7a01ab37bd2729626dcaf96166390315,3f4fbcbac5da95a20fa08e5384cec0be,CO.6,0.6221779313398348
7a01ab37bd2729626dcaf96166390315,3f4fbcbac5da95a20fa08e5384cec0be,MG.1,0.8120728505143309
7a01ab37bd2729626dcaf96166390315,4e4715f7254217e3086e400c20c6c46a,GMD.4,0.4555111559628974
7a01ab37bd2729626dcaf96166390315,4e4715f7254217e3086e400c20c6c46a,CO.5,0.4346364226301161
7a01ab37bd2729626dcaf96166390315,4e4715f7254217e3086e400c20c6c46a,CO.6,0.4246998669395998
7a01ab37bd2729626dcaf96166390315,4e4715f7254217e3086e400c20c6c46a,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,5724b11c82858d1aa6e80f800fda71df,GMD.4,0.8909444564641928
7a01ab37bd2729626dcaf96166390315,5724b11c82858d1aa6e80f800fda71df,CO.5,0.9247006457671529
7a01ab37bd2729626dcaf96166390315,5724b11c82858d1aa6e80f800fda71df,CO.6,0.9133724384513914
7a01ab37bd2729626dcaf96166390315,5724b11c82858d1aa6e80f800fda71df,MG.1,0.8091328266915447
7a01ab37bd2729626dcaf96166390315,6fb00a0a9c2e6b84352abd12b0f53c0b,GMD.4,0.461150365760817
7a01ab37bd2729626dcaf96166390315,6fb00a0a9c2e6b84352abd12b0f53c0b,CO.5,0.44125547087183264
7a01ab37bd2729626dcaf96166390315,6fb00a0a9c2e6b84352abd12b0f53c0b,CO.6,0.4315144206945675
7a01ab37bd2729626dcaf96166390315,6fb00a0a9c2e6b84352abd12b0f53c0b,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,70c2fe415227245dbd643fe14a70a22f,GMD.4,0.5095752505470886
7a01ab37bd2729626dcaf96166390315,70c2fe415227245dbd643fe14a70a22f,CO.5,0.5707352504677979
7a01ab37bd2729626dcaf96166390315,70c2fe415227245dbd643fe14a70a22f,CO.6,0.5075871446646598
7a01ab37bd2729626dcaf96166390315,70c2fe415227245dbd643fe14a70a22f,MG.1,0.591597532866342
7a01ab37bd2729626dcaf96166390315,7738af89c35a17ea95c600683473bb33,GMD.4,0.5948396280897766
7a01ab37bd2729626dcaf96166390315,7738af89c35a17ea95c600683473bb33,CO.5,0.6527923768128118
7a01ab37bd2729626dcaf96166390315,7738af89c35a17ea95c600683473bb33,CO.6,0.6508689256187769
7a01ab37bd2729626dcaf96166390315,7738af89c35a17ea95c600683473bb33,MG.1,0.4485106941123286
7a01ab37bd2729626dcaf96166390315,82ad0b937435798fbb2091527e421451,GMD.4,0.7470218493092289
7a01ab37bd2729626dcaf96166390315,82ad0b937435798fbb2091527e421451,CO.5,0.7310192854453933
7a01ab37bd2729626dcaf96166390315,82ad0b937435798fbb2091527e421451,CO.6,0.7257477596119551
